"","word","n"
"438","personal",58
"439","practice",58
"440","sense",58
"441","telling",58
"442","tonight",58
"443","antichrist",57
"444","child",57
"445","dangerous",57
"446","don",57
"447","explains",57
"448","helping",57
"449","local",57
"450","morning",57
"451","russia",57
"452","teaching",57
"453","flaming",56
"454","pentecostal",56
"455","son",56
"456","vance",56
"457","win",56
"458","difference",55
"459","extreme",55
"460","hatred",55
"461","heart",55
"462","letter",55
"463","million",55
"464","satan",55
"465","set",55
"466","soul",55
"467","worst",55
"468","008c",54
"469","absolutely",54
"470","campus",54
"471","de",54
"472","dear",54
"473","future",54
"474","liar",54
"475","married",54
"476","meant",54
"477","prosperity",54
"478","pussy",54
"479","reformation",54
"480","rev",54
"481","supported",54
"482","top",54
"483","voting",54
"484","wait",54
"485","charismatic",53
"486","climate",53
"487","fight",53
"488","health",53
"489","ideology",53
"490","interview",53
"491","literally",53
"492","repo",53
"493","sin",53
"494","teachings",53
"495","totally",53
"496","anglican",52
"497","david",52
"498","decades",52
"499","extremists",52
"500","grace",52
"501","lose",52
"502","reasons",52
"503","bannon",51
"504","biggest",51
"505","context",51
"506","discrimination",51
"507","missions",51
"508","obama",51
"509","poll",51
"510","respect",51
"511","seminaries",51
"512","tim",51
"513","watching",51
"514","worth",51
"515","class",50
"516","evangelicalism",50
"517","glad",50
"518","haiti",50
"519","influence",50
"520","leadership",50
"521","lots",50
"522","pence's",50
"523","vp",50
"524","attack",49
"525","business",49
"526","continue",49
"527","focus",49
"528","girls",49
"529","islamic",49
"530","liberals",49
"531","matter",49
"532","merritt",49
"533","nut",49
"534","radio",49
"535","scripture",49
"536","started",49
"537","straight",49
"538","address",48
"539","deep",48
"540","film",48
"541","helped",48
"542","listening",48
"543","nation",48
"544","option",48
"545","study",48
"546","teach",48
"547","terrorism",48
"548","trial",48
"549","types",48
"550","women's",48
"551","abt",47
"552","attend",47
"553","bet",47
"554","bigot",47
"555","extremist",47
"556","fired",47
"557","happened",47
"558","homosexuality",47
"559","minister",47
"560","narrative",47
"561","opposition",47
"562","past",47
"563","porn",47
"564","refugee",47
"565","rules",47
"566","save",47
"567","secular",47
"568","core",46
"569","daily",46
"570","father",46
"571","fun",46
"572","giving",46
"573","lack",46
"574","learn",46
"575","lunch",46
"576","megachurch",46
"577","national",46
"578","nice",46
"579","office",46
"580","putin",46
"581","tradition",46
"582","answer",45
"583","claims",45
"584","communities",45
"585","gender",45
"586","la",45
"587","leading",45
"588","liberty",45
"589","mother",45
"590","nuts",45
"591","perfect",45
"592","policy",45
"593","research",45
"594","reverend",45
"595","single",45
"596","stance",45
"597","voter",45
"598","age",44
"599","amazing",44
"600","believes",44
"601","devil",44
"602","discriminated",44
"603","funny",44
"604","imagine",44
"605","king",44
"606","learned",44
"607","lie",44
"608","ministries",44
"609","plan",44
"610","refugees",44
"611","supports",44
"612","alabama",43
"613","crowd",43
"614","german",43
"615","ladies",43
"616","persecuted",43
"617","policies",43
"618","secure",43
"619","share",43
"620","similar",43
"621","table",43
"622","traditional",43
"623","weekly",43
"624","009d",42
"625","african",42
"626","anymore",42
"627","belt",42
"628","deeply",42
"629","elected",42
"630","lives",42
"631","raising",42
"632","super",42
"633","supremacist",42
"634","survey",42
"635","threat",42
"636","trinity",42
"637","basically",41
"638","bs",41
"639","current",41
"640","keller",41
"641","massive",41
"642","met",41
"643","offer",41
"644","potus",41
"645","reality",41
"646","red",41
"647","sold",41
"648","sound",41
"649","surprised",41
"650","therapy",41
"651","today's",41
"652","00a3",40
"653","baptized",40
"654","close",40
"655","fundamentalists",40
"656","happen",40
"657","justice",40
"658","late",40
"659","proud",40
"660","righteous",40
"661","ryan",40
"662","scandal",40
"663","statement",40
"664","tweet",40
"665","type",40
"666","1st",39
"667","bring",39
"668","civil",39
"669","completely",39
"670","convert",39
"671","deal",39
"672","escort",39
"673","facebook",39
"674","heartfelt",39
"675","held",39
"676","im",39
"677","jobs",39
"678","loving",39
"679","proof",39
"680","sermon",39
"681","subculture",39
"682","tax",39
"683","union",39
"684","written",39
"685","yep",39
"686","008e",38
"687","bigotry",38
"688","bishop",38
"689","brothers",38
"690","canada",38
"691","catholicism",38
"692","con",38
"693","disagree",38
"694","exchange",38
"695","fanatic",38
"696","feeling",38
"697","female",38
"698","feminist",38
"699","forget",38
"700","francis",38
"701","huffington",38
"702","jew",38
"703","lgbtq",38
"704","maternity",38
"705","minority",38
"706","missionary",38
"707","religions",38
"708","reveal",38
"709","review",38
"710","spent",38
"711","supporter",38
"712","system",38
"713","tells",38
"714","008d",37
"715","admit",37
"716","argument",37
"717","birmingham",37
"718","camp",37
"719","colleges",37
"720","disgusting",37
"721","dont",37
"722","endorse",37
"723","including",37
"724","mock",37
"725","move",37
"726","online",37
"727","presbyterian",37
"728","responsible",37
"729","rest",37
"730","similarities",37
"731","standard",37
"732","theocracy",37
"733","upbringing",37
"734","washington",37
"735","accept",36
"736","ah",36
"737","box",36
"738","btw",36
"739","bunch",36
"740","cruz",36
"741","equal",36
"742","fire",36
"743","heaven",36
"744","jcc",36
"745","land",36
"746","list",36
"747","meals",36
"748","noll",36
"749","north",36
"750","note",36
"751","oppose",36
"752","play",36
"753","racial",36
"754","report",36
"755","roots",36
"756","spirit",36
"757","wrote",36
"758","act",35
"759","aid",35
"760","ap",35
"761","bigots",35
"762","cuts",35
"763","definition",35
"764","die",35
"765","doesn",35
"766","fascinating",35
"767","february",35
"768","foreign",35
"769","hispanic",35
"770","hold",35
"771","influential",35
"772","kid",35
"773","kill",35
"774","laws",35
"775","morality",35
"776","preach",35
"777","push",35
"778","questions",35
"779","race",35
"780","rw",35
"781","spread",35
"782","surprise",35
"783","synod",35
"784","witness",35
"785","atheism",34
"786","believers",34
"787","block",34
"788","brain",34
"789","cross",34
"790","doubt",34
"791","dt",34
"792","due",34
"793","enemy",34
"794","entire",34
"795","excellent",34
"796","final",34
"797","fraud",34
"798","fundamental",34
"799","gonna",34
"800","govt",34
"801","half",34
"802","ignorant",34
"803","label",34
"804","lawsuit",34
"805","opposite",34
"806","rapture",34
"807","sort",34
"808","street",34
"809","traded",34
"810","trans",34
"811","victory",34
"812","wh",34
"813","write",34
"814","yrs",34
"815","added",33
"816","awareness",33
"817","candidate",33
"818","critique",33
"819","crusade",33
"820","data",33
"821","demand",33
"822","ed",33
"823","expect",33
"824","families",33
"825","forces",33
"826","founder",33
"827","funded",33
"828","honestly",33
"829","kinda",33
"830","led",33
"831","males",33
"832","meaning",33
"833","milo",33
"834","moment",33
"835","published",33
"836","pulpit",33
"837","purity",33
"838","recent",33
"839","recovering",33
"840","stands",33
"841","supremacy",33
"842","violence",33
"843","wake",33
"844","west",33
"845","00ad",32
"846","africa",32
"847","amen",32
"848","angry",32
"849","avoid",32
"850","biblically",32
"851","considered",32
"852","conversation",32
"853","disabled",32
"854","dissent",32
"855","dude",32
"856","fundamentalism",32
"857","heresy",32
"858","host",32
"859","idiot",32
"860","ignore",32
"861","immigrants",32
"862","methodist",32
"863","missionaries",32
"864","nationalist",32
"865","neo",32
"866","normal",32
"867","record",32
"868","russian",32
"869","salvation",32
"870","speaks",32
"871","takes",32
"872","zeal",32
"873","00a5",31
"874","00bb",31
"875","add",31
"876","agreed",31
"877","al",31
"878","believing",31
"879","bigoted",31
"880","breaking",31
"881","brother",31
"882","chris",31
"883","cool",31
"884","creepy",31
"885","dad",31
"886","defend",31
"887","democrat",31
"888","eleven",31
"889","evidence",31
"890","fascist",31
"891","food",31
"892","girl",31
"893","grabbing",31
"894","hand",31
"895","hates",31
"896","healthcare",31
"897","hindu",31
"898","key",31
"899","loved",31
"900","millions",31
"901","pass",31
"902","playing",31
"903","refusal",31
"904","saturday",31
"905","senior",31
"906","shirt",31
"907","soros",31
"908","special",31
"909","texas",31
"910","tomorrow",31
"911","transgender",31
"912","travel",31
"913","ungodly",31
"914","voice",31
"915","wednesday",31
"916","064a",30
"917","306e",30
"918","afraid",30
"919","background",30
"920","beast",30
"921","blame",30
"922","brought",30
"923","cut",30
"924","damn",30
"925","dies",30
"926","doug",30
"927","embrace",30
"928","forcibly",30
"929","hands",30
"930","heretics",30
"931","identify",30
"932","identity",30
"933","infinite",30
"934","interpretation",30
"935","justify",30
"936","latino",30
"937","loves",30
"938","matters",30
"939","mormon",30
"940","perspective",30
"941","pm",30
"942","program",30
"943","propaganda",30
"944","pushed",30
"945","realize",30
"946","retweeted",30
"947","rhetoric",30
"948","scary",30
"949","sect",30
"950","sessions",30
"951","silencing",30
"952","understanding",30
"953","wonderful",30
"954","yesterday",30
"955","00a1",29
"956","00b8",29
"957","administration",29
"958","allies",29
"959","approach",29
"960","april",29
"961","bannon's",29
"962","board",29
"963","boys",29
"964","building",29
"965","center",29
"966","central",29
"967","changed",29
"968","chardon",29
"969","compassion",29
"970","conservatism",29
"971","constitution",29
"972","corporate",29
"973","democrats",29
"974","dems",29
"975","discovered",29
"976","dream",29
"977","elderly",29
"978","faithful",29
"979","fine",29
"980","forward",29
"981","front",29
"982","gift",29
"983","jerry",29
"984","lady",29
"985","leaving",29
"986","low",29
"987","mainstream",29
"988","ministers",29
"989","nationalism",29
"990","nature",29
"991","odd",29
"992","outcome",29
"993","reminder",29
"994","rural",29
"995","00ba",28
"996","30b9",28
"997","allowed",28
"998","apostasy",28
"999","appears",28
"1000","attended",28
"1001","canadian",28
"1002","cares",28
"1003","court",28
"1004","covenant",28
"1005","crap",28
"1006","debate",28
"1007","decline",28
"1008","earlier",28
"1009","fellow",28
"1010","finally",28
"1011","fit",28
"1012","global",28
"1013","gotta",28
"1014","haha",28
"1015","husband",28
"1016","pick",28
"1017","presidential",28
"1018","prominent",28
"1019","prophet",28
"1020","protect",28
"1021","protestantism",28
"1022","shocked",28
"1023","short",28
"1024","simply",28
"1025","walk",28
"1026","weekend",28
"1027","western",28
"1028","ya",28
"1029","zionists",28
"1030","200d",27
"1031","academic",27
"1032","action",27
"1033","america's",27
"1034","ar",27
"1035","authoritarianism",27
"1036","benedict",27
"1037","birth",27
"1038","break",27
"1039","century",27
"1040","chance",27
"1041","character",27
"1042","daughter",27
"1043","device",27
"1044","director",27
"1045","discussion",27
"1046","dog",27
"1047","dumb",27
"1048","essay",27
"1049","exposed",27
"1050","extremely",27
"1051","forced",27
"1052","furious",27
"1053","game",27
"1054","ghana",27
"1055","hateful",27
"1056","huckabee",27
"1057","inside",27
"1058","jr",27
"1059","lived",27
"1060","main",27
"1061","obamacare",27
"1062","opposing",27
"1063","outreach",27
"1064","priests",27
"1065","prof",27
"1066","related",27
"1067","rep",27
"1068","sell",27
"1069","send",27
"1070","slavery",27
"1071","specifically",27
"1072","suffering",27
"1073","team",27
"1074","town",27
"1075","baffled",26
"1076","blind",26
"1077","blood",26
"1078","boom",26
"1079","caught",26
"1080","china",26
"1081","coe",26
"1082","comment",26
"1083","comments",26
"1084","continues",26
"1085","corrupt",26
"1086","criticism",26
"1087","deregulate",26
"1088","dinner",26
"1089","djt",26
"1090","dominionist",26
"1091","feminism",26
"1092","figure",26
"1093","generation",26
"1094","highly",26
"1095","honest",26
"1096","insane",26
"1097","inspired",26
"1098","jones",26
"1099","metro",26
"1100","mine",26
"1101","miss",26
"1102","missed",26
"1103","pushing",26
"1104","relationship",26
"1105","represent",26
"1106","reversal",26
"1107","step",26
"1108","temptation",26
"1109","tweets",26
"1110","writing",26
"1111","yiannopoulos",26
"1112","zionist",26
"1113","aka",25
"1114","asian",25
"1115","behavior",25
"1116","ben",25
"1117","bubble",25
"1118","chinese",25
"1119","congregants",25
"1120","congress",25
"1121","dead",25
"1122","downright",25
"1123","evang",25
"1124","evolution",25
"1125","fighting",25
"1126","frank",25
"1127","funding",25
"1128","gorsuch",25
"1129","grow",25
"1130","guest",25
"1131","gun",25
"1132","ideas",25
"1133","ignorance",25
"1134","independent",25
"1135","light",25
"1136","military",25
"1137","morals",25
"1138","nonsense",25
"1139","outrage",25
"1140","playlist",25
"1141","pop",25
"1142","position",25
"1143","powerful",25
"1144","price",25
"1145","progressives",25
"1146","recently",25
"1147","sadly",25
"1148","samantha",25
"1149","sisters",25
"1150","solidarity",25
"1151","spot",25
"1152","starting",25
"1153","supposed",25
"1154","surprising",25
"1155","testament",25
"1156","theologian",25
"1157","universities",25
"1158","voices",25
"1159","wisconsin",25
"1160","worldview",25
"1161","writer",25
"1162","00b3",24
"1163","actual",24
"1164","average",24
"1165","berlin",24
"1166","brand",24
"1167","brazil",24
"1168","bush",24
"1169","buy",24
"1170","campaign",24
"1171","choose",24
"1172","club",24
"1173","code",24
"1174","converted",24
"1175","converts",24
"1176","cover",24
"1177","crediting",24
"1178","deluded",24
"1179","denominations",24
"1180","devout",24
"1181","easily",24
"1182","esp",24
"1183","ethics",24
"1184","exist",24
"1185","eye",24
"1186","failure",24
"1187","familiar",24
"1188","feed",24
"1189","growth",24
"1190","hating",24
"1191","hearing",24
"1192","hosting",24
"1193","indiana",24
"1194","institutions",24
"1195","international",24
"1196","killed",24
"1197","mindset",24
"1198","nazis",24
"1199","ny",24
"1200","orthodoxy",24
"1201","practicing",24
"1202","press",24
"1203","principles",24
"1204","racists",24
"1205","republic",24
"1206","scientist",24
"1207","stories",24
"1208","style",24
"1209","targets",24
"1210","tho",24
"1211","thomas",24
"1212","treat",24
"1213","uk",24
"1214","videos",24
"1215","worry",24
"1216","york",24
"1217","30pm",23
"1218","actions",23
"1219","ad",23
"1220","andrew",23
"1221","army",23
"1222","ash",23
"1223","attention",23
"1224","baby",23
"1225","beauty",23
"1226","bizarre",23
"1227","burn",23
"1228","clinton",23
"1229","countries",23
"1230","critical",23
"1231","denomination",23
"1232","deny",23
"1233","east",23
"1234","eat",23
"1235","eating",23
"1236","ev",23
"1237","extremism",23
"1238","fall",23
"1239","fans",23
"1240","favorite",23
"1241","gods",23
"1242","grown",23
"1243","heads",23
"1244","helps",23
"1245","hillary",23
"1246","historical",23
"1247","holds",23
"1248","id",23
"1249","ignoring",23
"1250","killing",23
"1251","marketers",23
"1252","martin",23
"1253","martyr",23
"1254","misogyny",23
"1255","mohler",23
"1256","planned",23
"1257","priest",23
"1258","project",23
"1259","promoting",23
"1260","quits",23
"1261","quote",23
"1262","radicalized",23
"1263","raise",23
"1264","ready",23
"1265","reminds",23
"1266","replace",23
"1267","return",23
"1268","ridiculous",23
"1269","road",23
"1270","samuel",23
"1271","schaeffer",23
"1272","separation",23
"1273","series",23
"1274","simple",23
"1275","stay",23
"1276","stopped",23
"1277","televangelist",23
"1278","tilt",23
"1279","trash",23
"1280","trumps",23
"1281","victims",23
"1282","whites",23
"1283","wins",23
"1284","charity",22
"1285","christianity's",22
"1286","concern",22
"1287","congregation",22
"1288","conspiracy",22
"1289","corruption",22
"1290","couple",22
"1291","cyrus",22
"1292","decided",22
"1293","demons",22
"1294","dogma",22
"1295","enabled",22
"1296","enforcement",22
"1297","episcopal",22
"1298","forgot",22
"1299","graham's",22
"1300","ha",22
"1301","heritage",22
"1302","hilarious",22
"1303","homes",22
"1304","homophobic",22
"1305","idiots",22
"1306","include",22
"1307","logic",22
"1308","luther",22
"1309","mass",22
"1310","mix",22
"1311","model",22
"1312","nazi",22
"1313","network",22
"1314","prayers",22
"1315","protest",22
"1316","revival",22
"1317","rome",22
"1318","sa",22
"1319","saint",22
"1320","saved",22
"1321","souls",22
"1322","talks",22
"1323","terms",22
"1324","throw",22
"1325","total",22
"1326","violent",22
"1327","witches",22
"1328","wtf",22
"1329","y'all",22
"1330","008a",21
"1331","009a",21
"1332","798f",21
"1333","97f3",21
"1334","assholes",21
"1335","association",21
"1336","aware",21
"1337","bro",21
"1338","chose",21
"1339","complete",21
"1340","concerned",21
"1341","created",21
"1342","crisis",21
"1343","davao",21
"1344","declare",21
"1345","district",21
"1346","ecumenical",21
"1347","en",21
"1348","evangelist",21
"1349","excited",21
"1350","fan",21
"1351","fast",21
"1352","filled",21
"1353","finger",21
"1354","finished",21
"1355","foundation",21
"1356","glory",21
"1357","gov",21
"1358","guardian",21
"1359","happening",21
"1360","hicks",21
"1361","hindus",21
"1362","hit",21
"1363","hospital",21
"1364","immoral",21
"1365","internet",21
"1366","iowa",21
"1367","ken",21
"1368","machines",21
"1369","michael",21
"1370","organizations",21
"1371","peace",21
"1372","personally",21
"1373","picture",21
"1374","practices",21
"1375","preached",21
"1376","pres",21
"1377","profile",21
"1378","pure",21
"1379","rally",21
"1380","relatives",21
"1381","responsibility",21
"1382","seeking",21
"1383","shut",21
"1384","signed",21
"1385","song",21
"1386","suppose",21
"1387","survived",21
"1388","suspect",21
"1389","target",21
"1390","ted",21
"1391","theory",21
"1392","tribute",21
"1393","'i",20
"1394","200b",20
"1395","306b",20
"1396","306f",20
"1397","30a4",20
"1398","account",20
"1399","apply",20
"1400","authority",20
"1401","belong",20
"1402","charge",20
"1403","clergy",20
"1404","communion",20
"1405","dark",20
"1406","decision",20
"1407","despise",20
"1408","destroy",20
"1409","disturbing",20
"1410","diversity",20
"1411","dying",20
"1412","english",20
"1413","europe",20
"1414","exclusive",20
"1415","existence",20
"1416","experienced",20
"1417","faux",20
"1418","gotham",20
"1419","helpful",20
"1420","hits",20
"1421","incredible",20
"1422","jeremiah",20
"1423","journey",20
"1424","knowledge",20
"1425","link",20
"1426","literal",20
"1427","luke",20
"1428","mar",20
"1429","named",20
"1430","neighbor",20
"1431","ni",20
"1432","nope",20
"1433","obsession",20
"1434","organization",20
"1435","orgs",20
"1436","packer",20
"1437","pain",20
"1438","parenthood",20
"1439","percent",20
"1440","peter",20
"1441","photo",20
"1442","police",20
"1443","politician",20
"1444","possibly",20
"1445","posted",20
"1446","poverty",20
"1447","praying",20
"1448","progress",20
"1449","reject",20
"1450","running",20
"1451","scholars",20
"1452","sister",20
"1453","source",20
"1454","student",20
"1455","sweeping",20
"1456","tbh",20
"1457","tend",20
"1458","vicious",20
"1459","vile",20
"1460","waiting",20
"1461","wall",20
"1462","xians",20
"1463","yr",20
"1464","'s",19
"1465","00ae",19
"1466","air",19
"1467","argue",19
"1468","armenian",19
"1469","ashley",19
"1470","assume",19
"1471","audience",19
"1472","authoritarian",19
"1473","babies",19
"1474","balking",19
"1475","borders",19
"1476","cabinet",19
"1477","carson",19
"1478","changing",19
"1479","checked",19
"1480","committed",19
"1481","confused",19
"1482","contemporary",19
"1483","correct",19
"1484","csanady",19
"1485","defending",19
"1486","el",19
"1487","episode",19
"1488","evangel",19
"1489","evangelic",19
"1490","events",19
"1491","fair",19
"1492","fantastic",19
"1493","feels",19
"1494","fund",19
"1495","goal",19
"1496","grabber",19
"1497","greedy",19
"1498","ground",19
"1499","hide",19
"1500","huh",19
"1501","insight",19
"1502","instilled",19
"1503","intellectual",19
"1504","involved",19
"1505","irony",19
"1506","jihadists",19
"1507","kingdom",19
"1508","latin",19
"1509","leftist",19
"1510","legal",19
"1511","literature",19
"1512","logical",19
"1513","market",19
"1514","mega",19
"1515","minded",19
"1516","mormons",19
"1517","motivated",19
"1518","moving",19
"1519","notice",19
"1520","opposed",19
"1521","pandering",19
"1522","paper",19
"1523","politically",19
"1524","professors",19
"1525","promote",19
"1526","received",19
"1527","recommend",19
"1528","result",19
"1529","sacramental",19
"1530","safe",19
"1531","secret",19
"1532","status",19
"1533","teen",19
"1534","terror",19
"1535","tired",19
"1536","towns",19
"1537","trusted",19
"1538","unity",19
"1539","variety",19
"1540","30c8",18
"1541","acts",18
"1542","agnostic",18
"1543","ardent",18
"1544","articles",18
"1545","attitude",18
"1546","basic",18
"1547","blessed",18
"1548","brainwashed",18
"1549","broad",18
"1550","careful",18
"1551","caucus",18
"1552","controversy",18
"1553","convince",18
"1554","cultists",18
"1555","danger",18
"1556","democratic",18
"1557","desire",18
"1558","directly",18
"1559","discuss",18
"1560","drawn",18
"1561","educated",18
"1562","edwards",18
"1563","enjoyed",18
"1564","era",18
"1565","failed",18
"1566","faiths",18
"1567","finland",18
"1568","florida",18
"1569","george",18
"1570","hot",18
"1571","hungry",18
"1572","learning",18
"1573","lmao",18
"1574","marketing",18
"1575","minute",18
"1576","monarchy",18
"1577","moved",18
"1578","nathan",18
"1579","opportunity",18
"1580","overwhelmingly",18
"1581","planet",18
"1582","platform",18
"1583","plenty",18
"1584","positive",18
"1585","pseudo",18
"1586","queer",18
"1587","quotes",18
"1588","ranking",18
"1589","regional",18
"1590","ride",18
"1591","rodriguez",18
"1592","sbc",18
"1593","sharing",18
"1594","smart",18
"1595","spend",18
"1596","spoke",18
"1597","stood",18
"1598","talked",18
"1599","themes",18
"1600","title",18
"1601","touch",18
"1602","ultra",18
"1603","unlike",18
"1604","virtue",18
"1605","warned",18
"1606","weeks",18
"1607","wheels",18
"1608","wide",18
"1609","william",18
"1610","wives",18
"1611","xian",18
